Block ID, Dimensions, COM, Mass
0, [ 7.   6.  14.5], [ 0.  0.  0.], 100
2, [6.  6.5 7. ], [ 0.   0.  0.  ], 100
6, [ 6.5  4.  13. ], [0. 0. 0. ], 100
