Block ID, Dimensions, COM, Mass
0, [ 5. 13.  6.], [ 0.6 -2.1 0.0], 116
2, [5.5 9.  5.5], [0.2 1.9 0.15], 196
3, [5.5 8.5 5.5], [0.0  -1.55 0.45], 192
4, [ 5.5 13. 5.5], [-0.05 0. 0.1], 88
5, [6.  7.5 6. ], [-0.3 -0.75 0.], 152
6, [12.  5.  7.], [-1.9 0.1 0.6], 192
7, [11.5  5.5  7. ], [0.0 0.05  0.1], 94
8, [ 6.  10.5  5.5], [0.5 -1.65 0.4 ], 168
9, [ 6.5 6. 10.5], [-0.45  0.0 -1.35], 176
10, [9.5 6.5 7. ], [-1.25  0.65  -0.5], 170
